Time_s,MSD_lattice_units2
4.334272996827801e-07,950.0
4.3376319770953604e-07,914.0
4.370481861050725e-07,882.0
4.426693857840456e-07,866.0
4.47724375936669e-07,840.0
4.484654739324e-07,830.0
4.4979941448007245e-07,770.0
4.5077831276038707e-07,794.0
4.5177213319343796e-07,746.0
4.543639833689762e-07,804.0
4.546469882202367e-07,818.0
4.572793842070569e-07,836.0
4.58888780835204e-07,914.0
4.62495717971166e-07,896.0
4.644307189295642e-07,930.0
4.665177384922982e-07,950.0
4.683953691213867e-07,890.0
4.6889286476621327e-07,916.0
4.706132874421556e-07,946.0
4.7293149411645613e-07,992.0
4.754771928191871e-07,946.0
4.759319722324242e-07,904.0
4.784801455817114e-07,958.0
4.818775618402311e-07,1016.0
4.840558906462897e-07,1062.0
4.862955506989852e-07,1016.0
4.907839983860166e-07,930.0
4.932691576816391e-07,974.0
4.933820039574043e-07,1002.0
4.937236402487083e-07,916.0
4.944070680599152e-07,862.0
4.951764149641739e-07,824.0
4.955431548561955e-07,878.0
4.971244866295586e-07,870.0
4.989569719631973e-07,900.0
4.998426889251955e-07,934.0
5.005262110466768e-07,886.0
5.027457938601906e-07,842.0
5.032503361826941e-07,802.0
5.047653665471181e-07,842.0
5.060121552063393e-07,800.0
5.069542241859998e-07,762.0
5.07022216207087e-07,724.0
5.090858213634176e-07,690.0
5.096418709322406e-07,618.0
5.118428316790819e-07,650.0
5.120802508658413e-07,614.0
5.131270067921549e-07,614.0
5.156874158347628e-07,614.0
5.297852215832229e-07,654.0
5.301950904960671e-07,660.0
5.314313985995332e-07,626.0
5.363507938143383e-07,672.0
5.41762449470265e-07,698.0
5.438403778884944e-07,734.0
5.448935911123537e-07,744.0
5.456668916531716e-07,734.0
5.463237992788663e-07,744.0
5.467403349439157e-07,710.0
5.474728260821115e-07,786.0
5.48315450475858e-07,818.0
5.517661242674503e-07,774.0
5.531756698962824e-07,730.0
5.534547903943753e-07,766.0
5.545510136626509e-07,724.0
5.552300546588201e-07,722.0
5.584585002385017e-07,762.0
5.608703771476485e-07,842.0
5.640428710075492e-07,804.0
5.65472708704801e-07,886.0
5.659504198920845e-07,926.0
5.710468617950408e-07,886.0
5.742939552375695e-07,972.0
5.811534410936277e-07,934.0
5.86065283534237e-07,898.0
5.881928565999586e-07,866.0
5.88613665289758e-07,898.0
5.929152109033974e-07,850.0
5.929341913220547e-07,886.0
5.945295017047396e-07,804.0
5.991645348135938e-07,770.0
5.995601250448909e-07,728.0
6.022936971507317e-07,686.0
6.056486685491069e-07,686.0
6.060218447479794e-07,686.0
6.121633025113607e-07,648.0
6.126719873227891e-07,614.0
6.143052920228336e-07,686.0
6.168147851548814e-07,686.0
6.191147085212717e-07,648.0
6.213748843415948e-07,686.0
6.292427144772932e-07,654.0
6.305899700820351e-07,690.0
6.353199800916191e-07,730.0
6.384288773241517e-07,774.0
6.394144251956287e-07,786.0
6.428780736853322e-07,802.0
6.42987628664203e-07,822.0
6.497981465070061e-07,850.0
6.562068129095153e-07,902.0
6.565409537451924e-07,854.0
6.621183389150967e-07,936.0
6.633570157917623e-07,902.0
6.635681523749302e-07,882.0
6.650365477974523e-07,966.0
6.652190810920491e-07,932.0
6.666188817048265e-07,986.0
6.677654849624661e-07,1010.0
6.693291523743956e-07,980.0
6.70304026806034e-07,898.0
6.719483340626975e-07,980.0
6.71964976305575e-07,1010.0
6.725076663294708e-07,1070.0
6.749917594828414e-07,1106.0
6.776687373966076e-07,1082.0
6.784671012596337e-07,1150.0
6.811879533237232e-07,1222.0
6.824835190765052e-07,1182.0
6.826422027248395e-07,1094.0
6.83626107832523e-07,1046.0
6.842345917371358e-07,1010.0
6.863738133858207e-07,1080.0
6.916191581888291e-07,1118.0
6.949853155439045e-07,1034.0
6.949961166928321e-07,1080.0
6.950549570889381e-07,1166.0
6.999809154638615e-07,1118.0
7.054153525608053e-07,1034.0
7.057562697081503e-07,1002.0
7.068140068295234e-07,934.0
7.082948360826739e-07,908.0
7.112227064771858e-07,934.0
7.112737061049019e-07,894.0
7.12429873206967e-07,936.0
7.140146800277931e-07,894.0
7.157741859634672e-07,858.0
7.17196465511233e-07,850.0
7.190287705195928e-07,858.0
7.190542526130079e-07,850.0
7.260953024009049e-07,846.0
7.281087347411315e-07,850.0
7.315705329822817e-07,778.0
7.320240344097387e-07,820.0
7.398919856063142e-07,798.0
7.432368892897083e-07,794.0
7.441277323884639e-07,726.0
7.486137309439255e-07,662.0
7.527867892269387e-07,644.0
7.534062752332278e-07,626.0
7.581707883588345e-07,568.0
7.607973660051786e-07,626.0
7.615458181081201e-07,626.0
7.617619276489114e-07,644.0
7.640159026963789e-07,662.0
7.64513525297528e-07,726.0
7.648689337806737e-07,794.0
7.667025259068054e-07,750.0
7.704372571913562e-07,728.0
7.73626690846044e-07,794.0
7.763659479275358e-07,818.0
7.777211013018686e-07,750.0
7.777980440787979e-07,776.0
7.780961220551087e-07,750.0
7.792940946635206e-07,750.0
7.80797771726662e-07,794.0
7.856958392321749e-07,818.0
7.861577817156567e-07,890.0
7.912676916630324e-07,894.0
7.916109219051037e-07,942.0
7.9358560561037e-07,866.0
7.973143567230621e-07,942.0
7.983822281856865e-07,950.0
8.040147652379492e-07,1002.0
8.040508066931168e-07,950.0
8.07926930976964e-07,982.0
8.079340412204393e-07,950.0
8.097888559336753e-07,982.0
8.10489005654166e-07,1066.0
8.125529705208861e-07,1140.0
8.129620440148234e-07,1194.0
8.147954702080237e-07,1118.0
8.151252327758274e-07,1066.0
8.201153131434801e-07,1090.0
8.207443355845841e-07,1018.0
8.228211890710556e-07,1104.0
8.245032613024209e-07,1066.0
8.246769971709162e-07,982.0
8.287052351316748e-07,1018.0
8.287070424930323e-07,996.0
8.291553343663442e-07,950.0
8.311920959661844e-07,930.0
8.322113713565767e-07,896.0
